x,y
0.04289,0
0.04244,0
0.051,0
0.06056,0
0.05267,0
0.06,0
0.0419,0
0.03829,0
0.04725,0
0.05522,0
0.06611,0
0.053,0
0.09691,0
0.06222,0
0.0735,0
0.0455,0
0.058,0
0.04412,0
0.03944,0
0.02687,0
0.0471,0
0.0529,0
0.03967,0
0.0676,0
0.04044,0
0.03563,0
0.06614,0
0.048,0
0.05489,0
0.06257,0
0.05,0
0.04214,0
0.04262,0
0.05962,0
0.09733,0
0.06562,0
0.07073,0
0.05322,0
0.05978,0
0.05025,0
0.0795,0
0.05275,0
0.0415,0
0.02288,0
0.0566,0
0.0516,0
0.04317,0
0.07327,0
0.03778,0
0.0405,0
0.049,0
0.05133,0
0.06211,0
0.05771,0
0.061,0
0.03743,0
0.04538,0
0.06212,0
0.05089,0
0.03157,0
0.03764,0
0.05144,0
0.06156,0
0.04562,0
0.07122,0
0.04656,0
0.0373,0
0.029,0
0.0605,0
0.0584,0
0.0154,0
0.0547,0
0.04522,0
0.03988,0
0.05,0
0.04833,0
0.056,0
0.0535,0
0.0443,0
0.0475,0
0.0385,0
0.04888,0
0.05056,0
0.07556,0
0.0299,0
0.03944,0
0.06289,0
0.0525,0
0.07033,0
0.04756,0
0.0436,0
0.026,0
0.0568,0
0.04925,0
0.024,0
0.0552,0
0.0621,0
0.05587,0
0.06325,0
0.10762,0
0.08788,0
0.09238,1
0.2329,0
0.1925,0
0.07875,1
0.45429,1
0.30888,0
0.138,0
0.1148,0
0.19762,1
0.5585,1
0.47017,1
0.49638,1
0.22511,0
0.0819,0
0.03537,0
0.12756,1
0.21014,0
0.18467,1
0.2552,0
0.14682,0
0.07588,0
0.08087,0
0.0665,1
0.22457,0
0.10156,0
0.1138,0
0.09088,0
0.06487,1
0.37486,1
0.202,1
0.43,0
0.1264,0
0.127,1
0.32383,0
0.19088,1
0.39186,1
0.27929,0
0.1377,1
0.23,0
0.16033,0
0.083,1
0.25533,0
0.1779,0
0.0723,0
0.07187,0
0.08329,0
0.11471,0
0.11586,0
0.12033,0
0.1243,0
0.11875,0
0.13575,0
0.17233,0
0.0727,1
0.25611,1
0.29375,1
0.254,1
0.25033,0
0.07475,0
0.07557,0
0.0697,0
0.0709,0
0.04112,0
0.04556,0
0.05438,0
0.036,0
0.0758,0
0.07564,0
0.08438,0
0.04786,0
0.04086,0
0.05657,0
0.143,0
0.1023,0
0.07171,0
0.07589,1
0.27333,0
0.1272,0
0.1691,0
0.185,0
0.121,0
0.06611,0
0.17457,0
0.11143,1
0.24414,1
0.3068,0
0.155,0
0.1013,0
0.11187,0
0.0584,0
0.1086,0
0.0941,0
0.078,0
0.07886,0
0.04443,0
0.07433,0
0.086,0
0.083,0
0.097,0
0.18744,0
0.06189,0
0.05367,0
0.09464,0
0.0838,0
0.1925,0
0.11911,0
0.06922,0
0.05133,0
0.0556,0
0.0559,0
0.06225,0
0.06412,0
0.066,0
0.063,0
0.06333,0
0.0519,0
0.03557,0
0.04429,0
0.04786,0
0.03767,0
0.049,0
0.08982,0
0.034,0
0.04362,0
0.03367,0
0.05,0
0.07073,0
0.0832,0
0.08271,0
0.05656,0
0.07075,0
0.0515,0
0.0711,0
0.0474,0
0.06567,0
0.05375,0
0.04143,0
0.02833,0
0.04325,0
0.03756,0
0.05257,0
0.045,0
0.04114,0
0.04357,0
0.0658,0
0.0883,0
0.04829,0
0.06667,0
0.04267,0
0.073,0
0.09917,0
0.0514,0
0.04286,0
0.05089,0
0.049,0
0.04667,0
0.043,0
0.0629,0
0.03563,0
0.0715,0
0.05088,0
0.04425,0
0.06133,0
0.03956,0
0.05914,0
0.042,0
0.049,0
0.05043,0
0.0542,0
0.0712,0
0.04157,0
0.04956,0
0.05211,1
0.30012,0
0.1615,0
0.1293,0
0.10471,0
0.06689,0
0.10462,1
0.2064,1
0.31013,0
0.15911,0
0.17244,0
0.10091,0
0.07438,0
0.06038,0
0.06133,0
0.05,0
0.11214,0
0.08644,0
0.09363,0
0.074,0
0.065,0
0.0958,0
0.07371,0
0.07622,0
0.04888,0
0.0665,0
0.168,0
0.10678,1
0.41888,1
0.50643,1
0.41067,0
0.19586,0
0.195,1
0.264,1
0.35278,0
0.1457,0
0.16657,0
0.082,0
0.06244,0
0.05778,0
0.07717,0
0.06556,0
0.07344,0
0.08083,0
0.0927,0
0.14411,0
0.14,0
0.15625,1
0.42071,0
0.19662,1
0.23286,1
0.24267,0
0.14162,0
0.10886,1
0.21878,1
0.35633,1
0.217,1
0.24067,0
0.191,0
0.1305,0
0.17629,1
0.21012,0
0.08522,0
0.05422,0
0.09629,0
0.102,0
0.12667,0
0.10386,0
0.0693,0
0.07543,0
0.13112,0
0.08578,0
0.06433,0
0.08338,0
0.0955,1
0.25256,0
0.17289,0
0.126,0
0.19071,0
0.13186,0
0.05067,0
0.04433,0
0.05867,0
0.0657,0
0.04067,0
0.0754,0
0.04133,0
0.04288,0
0.09057,0
0.06878,0
0.061,0
0.04567,0
0.1142,0
0.07343,1
0.458,0
0.13662,0
0.06622,0
0.18288,1
0.4381,0
0.16,1
0.39025,0
0.17625,1
0.21712,0
0.09638,1
0.21756,0
0.07112,0
0.117,0
0.1157,0
0.05017,0
0.11391,0
0.15933,0
0.0785,0
0.17386,0
0.06678,0
0.08233,0
0.0405,0
0.0675,0
0.04686,0
0.05925,0
0.07612,0
0.06375,0
0.14225,0
0.1175,0
0.19838,0
0.18825,1
0.39175,1
0.223,0
0.14578,0
0.083,0
0.04438,0
0.0801,0
0.0833,0
0.0306,0
0.08545,0
0.0853,0
0.12,0
0.09817,0
0.10633,0
0.06712,0
0.061,0
0.0766,0
0.07586,0
0.08057,1
0.39429,0
0.1095,0
0.03733,0
0.0659,0
0.15475,1
0.28189,1
0.20743,1
0.37862,1
0.24167,1
0.259,0
0.0975,0
0.1163,1
0.213,0
0.059,0
0.0717,0
0.0687,0
0.05,0
0.073,0
0.03938,0
0.06525,0
0.05512,0
0.0672,0
0.05925,0
0.15186,1
0.213,0
0.09412,0
0.08838,1
0.54738,1
0.3165,1
0.24011,1
0.23257,1
0.22625,1
0.23278,1
0.2841,0
0.14212,0
0.1139,0
0.07414,0
0.0196,0
0.0634,0
0.0557,0
0.0575,0
0.07675,0
0.05737,0
0.05988,0
0.062,0
0.0859,0
0.08,0
0.05871,0
0.06712,0
0.06162,0
0.07033,0
0.05044,0
0.13662,0
0.07911,0
0.06887,0
0.076,0
0.04911,0
0.0572,0
0.035,0
0.05067,0
0.05014,0
0.0328,0
0.068,0
0.0652,0
0.05512,0
0.05171,0
0.05838,0
0.06586,0
0.06178,0
0.0723,0
0.07025,0
0.04338,0
0.14411,0
0.1322,0
0.0643,0
0.0419,0
0.05071,0
0.06756,0
0.10638,0
0.07029,0
0.04833,0
0.1476,0
0.0695,0
0.06478,0
0.05838,0
0.03533,0
0.06827,0
0.0593,0
0.03986,0
0.05,0
0.06486,0
0.05886,0
0.074,0
0.0671,0
0.05543,0
0.05212,0
0.05911,0
0.0758,0
0.0619,0
0.0494,0
0.04557,0
0.06522,0
0.071,0
0.0435,0
0.0572,0
0.0651,0
0.04312,0
0.04711,0
0.06322,0
0.032,0
0.05836,0
0.0558,0
0.03414,0
0.06714,0
0.04671,0
0.0355,0
0.05711,0
0.0601,0
0.04114,0
0.05522,0
0.046,0
0.04989,0
