x,y
0.05144,0
0.06942,0
0.07473,0
0.04043,0
0.05911,0
0.0495,0
0.04288,0
0.04656,0
0.04733,0
0.028,0
0.054,0
0.08214,0
0.08178,0
0.04722,0
0.0663,0
0.06244,0
0.05945,0
0.02683,0
0.05511,0
0.0548,0
0.04129,0
0.075,0
0.0494,0
0.028,0
0.04425,0
0.0665,0
0.08291,0
0.05375,0
0.05022,0
0.045,0
0.03688,0
0.049,0
0.04089,0
0.03525,0
0.0557,0
0.053,0
0.1204,0
0.05433,0
0.0888,0
0.05533,0
0.0796,0
0.02117,0
0.0684,0
0.0531,0
0.04129,0
0.0743,0
0.05182,0
0.034,0
0.04575,0
0.04573,0
0.081,0
0.045,0
0.07011,0
0.04,0
0.05362,0
0.086,0
0.05844,1
0.352,0
0.1264,1
0.32867,1
0.29033,0
0.14222,0
0.12467,0
0.05456,0
0.09389,0
0.02517,0
0.0813,0
0.0631,0
0.06275,0
0.0664,0
0.05618,0
0.03538,0
0.04188,0
0.05673,0
0.06667,0
0.066,0
0.05956,0
0.03971,0
0.07875,0
0.093,0
0.08344,0
0.05162,1
0.23667,0
0.08629,0
0.09889,0
0.05922,0
0.07712,0
0.0851,0
0.10033,0
0.02667,0
0.0708,0
0.0529,0
0.03043,0
0.0593,0
0.05545,0
0.04275,0
0.04111,0
0.05155,0
0.06244,0
0.04571,0
0.05533,0
0.04771,0
0.04812,0
0.03388,0
0.07167,0
0.04575,0
0.05522,0
0.0745,0
0.10767,0
0.073,0
0.10063,0
0.0771,0
0.07689,0
0.05317,0
0.0631,0
0.05764,0
0.02557,0
0.0599,0
0.05518,0
0.04575,0
0.04722,0
0.0506,0
0.05588,0
0.03871,0
0.09267,0
0.04486,0
0.05822,0
0.04178,0
0.04489,0
0.04375,0
0.03833,0
0.05588,0
0.04667,0
0.04633,0
0.03857,0
0.03256,0
0.05222,0
0.02133,0
0.05267,0
0.0458,0
0.03186,0
0.0563,0
0.05145,0
0.05267,0
0.04678,0
0.0324,0
0.03314,0
0.05388,0
0.06167,0
0.03529,0
0.06422,0
0.05078,0
0.0616,0
0.04838,0
0.04378,0
0.04371,0
0.05144,0
0.0446,0
0.02357,0
0.052,0
0.07412,0
0.02717,0
0.04578,0
0.04078,0
0.04214,0
0.0666,0
0.05573,0
0.05244,0
0.03544,0
0.03978,0
0.04657,0
0.07111,0
0.06144,0
0.05,0
0.058,0
0.041,0
0.0761,0
0.08144,0
0.07011,0
0.05486,0
0.05089,0
0.0621,0
0.02567,0
0.0394,0
0.053,0
0.02067,0
0.0803,0
0.05422,0
0.03429,0
0.0557,0
0.0492,0
0.06233,0
0.04311,0
0.03611,0
0.04114,0
0.063,0
0.06256,0
0.03686,0
0.063,0
0.0646,0
0.0716,0
0.08518,0
0.124,0
0.10417,0
0.05456,0
0.08689,0
0.02857,0
0.05264,0
0.04417,0
0.04214,0
0.0546,0
0.03622,0
0.03229,0
0.04211,0
0.03322,0
0.066,0
0.0498,0
0.04067,0
0.04143,0
0.05356,0
0.04911,0
0.04514,0
0.075,0
0.0748,0
0.06844,0
0.07191,0
0.12078,0
0.10933,1
0.23522,0
0.19156,0
0.04257,0
0.06173,0
0.076,0
0.04757,0
0.0492,0
0.0545,0
0.03786,0
0.0608,0
0.04556,0
0.03725,0
0.05245,0
0.044,0
0.03614,0
0.05367,0
0.05856,0
0.05238,0
0.13511,0
0.1156,0
0.08389,1
0.23891,0
0.13443,1
0.315,1
0.21237,1
0.43943,0
0.16171,0
0.0949,0
0.087,0
0.0865,0
0.06267,0
0.04038,0
0.1023,0
0.0628,0
0.05744,0
0.053,0
0.05236,0
0.04933,0
0.05443,0
0.04678,0
0.05275,0
0.05925,0
0.06922,0
0.04422,0
0.05244,0
0.05191,0
0.0794,0
0.05629,0
0.06433,0
0.0688,0
0.034,0
0.05509,0
0.0374,0
0.06078,0
0.043,0
0.04225,0
0.0652,0
0.0589,0
0.04389,0
0.05267,0
0.05482,0
0.06067,0
0.05286,0
0.06356,0
0.06688,0
0.0575,0
0.06167,0
0.04675,0
0.04488,0
0.05827,0
0.10111,0
0.16671,0
0.10022,0
0.0993,0
0.05986,0
0.08136,0
0.0496,0
0.09825,0
0.07111,0
0.07714,0
0.08267,0
0.06067,0
0.04462,0
0.05956,0
0.07927,0
0.06711,0
0.04943,0
0.05667,0
0.04412,0
0.05925,0
0.05311,0
0.04875,0
0.03483,0
0.0681,0
0.0925,0
0.08171,0
0.10667,0
0.1118,0
0.07289,0
0.12564,0
0.039,0
0.05162,0
0.05233,0
0.073,0
0.116,0
0.05556,0
0.03925,0
0.07367,0
0.05227,0
0.07445,0
0.05729,0
0.0745,0
0.05662,0
0.03812,0
0.045,0
0.04212,0
0.04317,0
0.051,0
0.0645,0
0.0825,0
0.04478,0
0.0697,0
0.04811,0
0.07182,0
0.04917,0
0.05,0
0.08538,0
0.0644,0
0.1385,0
0.05989,0
0.04088,0
0.0754,0
0.05645,0
0.07755,0
0.04457,0
0.06156,0
0.04888,0
0.05025,0
0.05556,0
0.059,0
0.02914,0
0.0545,0
0.08662,0
0.08544,0
0.05844,0
0.0627,0
0.06578,0
0.09909,0
0.0395,0
0.0571,0
0.0564,0
0.02567,0
0.0682,0
0.05509,0
0.0305,0
0.047,0
0.06009,0
0.07273,0
0.0545,0
0.05622,0
0.03743,0
0.04588,0
0.05125,0
0.04711,0
0.04438,0
0.0569,0
0.05257,0
0.0783,0
0.057,0
0.0524,0
0.04889,0
0.0893,0
0.02383,0
0.0691,0
0.0522,0
0.02967,0
0.0626,0
0.04982,0
0.02988,0
0.04388,0
0.05809,0
0.0626,0
0.051,0
0.05856,0
0.03786,0
0.049,0
0.05975,0
0.06689,0
0.04962,0
0.0537,0
0.06571,0
0.06233,0
0.05233,0
0.04767,0
0.05922,0
0.11756,0
0.061,0
0.0844,0
0.0811,0
0.061,0
0.0761,0
0.05473,0
0.03762,0
0.04475,0
0.0553,0
0.08022,0
0.05425,0
0.07033,0
0.046,0
0.0565,0
0.04488,0
0.04467,0
0.04162,0
0.04778,0
0.08529,0
0.09744,0
0.04178,0
0.05125,0
0.043,0
0.07962,0
0.0246,0
0.08711,0
0.05622,0
0.02657,0
0.0628,0
0.04973,0
0.04162,0
0.0446,0
0.05067,0
0.07089,0
0.04957,0
0.06,0
0.02867,0
0.07756,0
0.058,0
0.06856,0
0.0675,0
0.08167,0
0.05888,0
0.05878,0
0.04856,0
0.03814,0
0.15575,1
0.36943,0
0.1098,1
0.487,1
0.30375,0
0.16,0
0.1538,0
0.13509,0
0.11212,0
0.132,0
0.12344,0
0.081,0
0.05857,0
0.09133,0
0.08367,0
0.05925,0
0.08611,1
0.2151,0
0.06912,0
0.13633,1
0.22757,0
0.07889,0
0.09178,0
0.17129,0
0.1473,0
0.10775,0
0.02783,0
0.06022,0
0.0652,0
0.03529,0
0.0639,0
0.06336,0
0.05333,0
0.0572,0
0.03322,0
0.039,0
0.05888,0
0.05689,0
0.04857,0
0.08111,0
0.04467,0
0.0661,0
0.0606,0
0.071,0
0.07114,0
0.11089,0
0.06,0
0.04429,0
0.073,0
0.06286,0
0.02117,0
0.07278,0
0.05933,0
0.04071,0
0.073,0
0.05627,0
0.056,0
0.04878,0
0.04622,0
0.03914,0
0.07533,0
0.07422,0
0.02857,0
0.05411,0
0.05967,0
0.1663,0
0.19,0
0.17167,0
0.18814,0
0.09489,0
0.08444,0
0.11317,0
0.1168,0
0.06333,0
0.03333,0
0.1054,0
0.05789,0
0.03114,0
0.0705,0
0.0457,0
0.04662,0
0.0489,0
0.047,0
0.05386,0
0.07589,0
0.075,0
0.04129,0
0.05211,0
0.0737,1
0.311,1
0.22264,1
0.22489,1
0.33117,0
0.14256,1
0.20656,0
0.13771,0
0.1893,0
0.14267,0
0.11083,0
0.1366,0
0.07633,0
0.112,0
0.0693,0
0.0546,0
0.06088,0
0.058,0
0.04656,0
0.04029,0
0.06256,0
0.05522,0
0.05788,0
0.06289,0
0.05089,0
0.05622,0
0.06736,0
0.09811,0
0.059,0
0.06389,0
0.106,0
0.08414,0
0.07255,0
0.05983,0
0.02733,0
0.0601,0
0.04138,0
0.04012,0
0.0554,0
0.0427,0
0.04138,0
0.05573,0
0.04756,0
0.04943,0
0.06422,0
0.05556,0
0.051,0
0.06744,0
0.04644,0
0.06211,0
0.07118,0
0.11344,0
0.0535,0
0.052,0
0.11167,0
0.02886,0
0.059,0
0.0692,0
0.026,0
0.05656,0
0.04362,0
0.0603,0
0.04911,0
0.03944,0
0.0305,0
0.04482,0
0.05911,0
0.04471,0
0.05344,0
0.05388,0
0.04638,0
0.06311,0
0.04211,0
0.05467,0
0.07027,0
0.10938,0
0.06043,0
0.04833,0
0.05222,0
0.03429,0
0.07027,0
0.035,0
0.05575,0
0.04722,0
0.04925,0
0.0776,0
0.0571,0
0.04478,0
0.06178,0
0.06364,0
0.05411,0
0.05714,0
0.052,0
0.058,0
0.04225,0
0.06156,0
0.03738,0
0.06357,0
0.0551,0
0.063,0
0.04257,0
0.05289,0
0.0714,0
0.06022,0
0.07145,0
0.052,0
0.08162,0
0.0563,0
0.079,0
0.06789,0
0.058,0
0.04138,0
0.06556,0
0.05725,0
0.05922,0
0.04471,0
0.05244,0
0.05575,0
0.04225,0
0.04789,0
0.0335,0
0.03757,0
0.0554,0
0.07675,0
0.152,0
0.06867,0
0.0658,0
0.06178,0
0.05455,0
0.029,0
0.051,0
0.0482,0
0.05138,0
0.05767,0
0.03289,0
0.02975,0
0.04288,0
0.05942,0
0.0655,0
0.04743,0
0.0585,0
0.05363,0
0.04362,0
0.12422,0
0.03362,0
0.04214,0
0.0489,0
0.05962,0
0.0555,0
0.04378,0
0.0849,0
0.08411,0
0.14218,0
0.04167,0
0.05733,0
0.1135,0
0.08414,0
0.0828,0
0.03933,0
0.03862,0
0.05156,0
0.074,0
0.0633,0
0.12125,0
0.06878,0
0.05662,0
0.04588,0
0.06167,0
0.03288,0
0.03987,0
0.0483,0
0.06043,0
0.11067,0
0.07844,0
0.0867,0
0.05275,0
0.14827,0
0.08167,0
0.1169,0
0.0736,0
0.03383,0
0.0662,0
0.0579,0
0.05588,0
0.06056,0
0.07191,0
0.0567,0
0.07625,0
0.06111,0
0.04514,0
0.05125,0
0.067,0
0.0395,0
0.05312,0
0.0776,1
0.2625,0
0.1601,1
0.31288,1
0.247,0
0.15556,1
0.20378,0
0.14917,0
0.158,0
0.1363,0
0.07783,0
0.1232,0
0.06482,0
0.04212,0
0.04675,0
0.09645,0
0.07767,0
0.0955,0
0.09444,0
0.10386,0
0.098,0
0.09325,0
0.06862,0
0.0555,0
0.0623,1
0.3886,1
0.21256,0
0.06788,0
0.06212,0
0.06278,0
0.11878,0
0.09317,0
0.1072,0
0.0864,0
0.05086,0
0.0738,0
0.05318,0
0.04725,0
0.05167,0
0.08864,0
0.06867,0
0.0985,0
0.09488,0
0.04643,0
0.04962,0
0.06111,0
0.0455,0
0.04412,1
0.3967,1
0.31163,1
0.30737,1
0.92925,0
0.14857,0
0.11989,1
0.21611,1
0.20033,0
0.1612,0
0.1464,0
0.07043,0
0.0929,0
0.09655,0
0.05788,0
0.067,0
0.0505,0
0.04057,0
0.05214,0
0.07711,0
0.07314,0
0.07362,0
0.05478,0
0.06356,0
0.05662,0
0.0762,0
0.10238,0
0.06422,0
0.06822,0
0.03586,0
0.0516,0
0.08922,0
0.033,0
0.07333,0
0.0684,0
0.03986,0
0.06267,0
0.0576,0
0.05062,0
0.05544,0
0.049,0
0.044,0
0.05043,0
0.062,0
0.04143,0
0.05844,0
0.05,0
0.0656,0
0.04862,0
0.0499,0
0.06543,0
0.05622,0
0.058,0
0.03243,0
0.06289,0
0.07125,0
0.05433,0
0.06133,0
0.0779,0
0.04,0
0.0517,0
0.05418,0
0.057,0
0.04944,0
0.04411,0
0.05014,0
0.06125,0
0.06878,0
0.04386,0
0.06044,0
0.04844,0
0.0709,0
0.04833,0
0.05078,0
0.06371,0
0.07767,0
0.07722,0
0.1015,1
0.2441,1
0.25483,1
0.374,1
0.217,1
0.22133,0
0.14086,0
0.0915,0
0.07118,0
0.07467,0
0.04856,0
0.04722,0
0.04214,0
0.07675,0
0.07056,0
0.04571,0
0.06189,0
0.0605,0
0.0589,0
0.05736,0
0.10622,0
0.063,0
0.14644,0
0.0829,0
0.03229,0
0.0635,0
0.06229,0
0.03033,0
0.0726,0
0.04967,0
0.04529,0
0.0833,0
0.047,0
0.05456,0
0.0887,0
0.06356,0
0.07229,0
0.11767,0
0.1318,0
0.04657,0
0.1728,0
0.0863,0
0.08345,0
0.076,0
0.06411,0
0.05817,0
0.072,0
0.07144,0
0.04043,0
0.05691,0
0.08583,0
0.02167,0
0.0584,0
0.04267,0
0.04788,0
